Player Name,Season,Proximity to Hole (ARG) - (AVG DTP) (IN)
Robert Garrigus,2010,103
Bubba Watson,2010,97
Dustin Johnson,2010,94
Brett Wetterich,2010,97
J.B. Holmes,2010,84
John Daly,2010,95
Graham DeLaet,2010,89
Angel Cabrera,2010,91
Charles Warren,2010,96
D.J. Trahan,2010,91
Martin Flores,2010,95
Rory McIlroy,2010,86
Phil Mickelson,2010,80
Aaron Baddeley,2010,86
Jason Day,2010,83
Charley Hoffman,2010,84
Davis Love III,2010,89
Jeff Overton,2010,89
Scott Piercy,2010,96
Martin Laird,2010,89
Nick Watney,2010,87
Troy Matteson,2010,96
Jarrod Lyle,2010,87
Andres Romero,2010,91
Daniel Chopra,2010,93
Ryan Palmer,2010,94
Lucas Glover,2010,89
Alex Prugh,2010,96
Garth Mulroy,2010,98
John Rollins,2010,92
Marc Leishman,2010,79
Cameron Tringale,2010,87
Adam Scott,2010,85
Charles Howell III,2010,79
Paul Casey,2010,92
Matt Bettencourt,2010,87
Derek Lamely,2010,92
Cameron Percy,2010,87
James Driscoll,2010,100
George McNeill,2010,93
Bill Haas,2010,88
Matt Jones,2010,85
Josh Teater,2010,90
Jimmy Walker,2010,91
J.J. Henry,2010,94
Rickie Fowler,2010,87
Sergio Garcia,2010,83
Stewart Cink,2010,87
Chris Couch,2010,98
Vijay Singh,2010,84
Padraig Harrington,2010,79
Roger Tambellini,2010,98
Bo Van Pelt,2010,83
David Lutterus,2010,85
Boo Weekley,2010,93
Hunter Mahan,2010,99
Tim Herron,2010,89
Chris Wilson,2010,97
Retief Goosen,2010,78
John Merrick,2010,92
Greg Owen,2010,86
Blake Adams,2010,90
Jonathan Byrd,2010,75
Matt Every,2010,95
Will MacKenzie,2010,88
Ted Purdy,2010,96
Steve Marino,2010,100
Kenny Perry,2010,96
Paul Stankowski,2010,103
Kevin Streelman,2010,93
John Senden,2010,91
Kevin Stadler,2010,92
Andrew McLardy,2010,91
Michael Letzig,2010,88
Ryan Moore,2010,88
Camilo Villegas,2010,82
Mathew Goggin,2010,97
Sean O'Hair,2010,90
Steve Elkington,2010,87
Nicholas Thompson,2010,94
Robert Allenby,2010,99
Rory Sabbatini,2010,83
