Player Name,Exp-Before-2010,Exp-Less_Eq-2012,Exp-Less_Eq-2015,Exp-Less_Eq-2018
A.J. Duncan,2,2,2,2
A.J. McInerney,0,0,0,2
Aaron Baddeley,10,13,16,19
Aaron Barber,2,2,2,2
Aaron Bengoechea,1,1,1,1
Aaron Watkins,1,2,3,3
Aaron Wise,0,0,0,3
Abraham Ancer,0,0,0,3
Adam Adams,1,1,1,1
Adam Bland,0,0,0,1
Adam Hadwin,0,2,4,7
Adam Hart,0,0,0,1
Adam Kase,1,1,1,1
Adam Long,0,0,0,1
Adam Mednick,2,2,2,2
Adam Meyer,1,1,1,1
Adam Schenk,0,0,0,2
Adam Scott,10,13,16,19
Adam Spring,1,1,1,1
Adam Svensson,0,0,1,2
Adrian Otaegui,0,0,0,1
Adrian Stills,1,1,1,1
Ahmad Bateman,1,1,1,1
Aki Ohmachi,5,5,5,5
Akio Sadakata,2,2,2,2
Al Geiberger,8,8,8,8
Al Morton,1,1,1,1
Alan Bratton,1,1,1,1
Alan Fadel,1,1,1,1
Alan Morin,3,3,3,3
Alan Pate,5,5,5,5
Alan Tapie,3,3,3,3
Alan Wagner,1,1,1,1
Alastair Forsyth,5,5,5,5
Albin Choi,0,1,1,1
Alejandro Cañizares,2,2,2,2
Alex Aragon,1,1,2,2
Alex Cejka,10,13,15,18
Alex Hamilton,0,1,1,1
Alex Kang,0,0,0,1
Alex Moon,0,0,0,1
Alex Noren,1,4,6,9
Alex Prugh,0,2,4,6
Alexander Björk,0,0,0,1
Alexander Levy,0,0,2,5
Alexandre Balicki,1,1,1,1
Alexandre Rocha,0,3,5,5
Alfie Plant,0,0,0,1
Alistair Presnell,0,2,3,3
Allan Schulte,1,1,1,1
Allan Strange,1,1,1,1
Allen Doyle,6,6,6,6
Allen Miller,7,7,7,7
Alvaro Quiros,2,5,7,7
Anders Albertson,0,0,0,1
Anders Forsbrand,7,7,7,7
Anders Hansen,5,8,8,8
Andre Stolz,2,3,4,4
Andrea Pavan,0,0,0,1
Andres Gonzales,3,5,8,10
Andres Romero,4,7,10,13
Andrew Buckle,3,3,3,3
Andrew Clapp,1,1,1,1
Andrew Coltart,8,8,8,8
Andrew Debusk,1,1,1,1
Andrew Dodt,0,0,1,2
Andrew Dorn,0,0,0,1
Andrew Dresser,1,1,1,1
Andrew Johnson,0,0,1,1
Andrew Johnston,0,0,0,3
Andrew Landry,0,0,0,3
Andrew Loupe,0,0,2,4
Andrew Magee,23,23,23,23
Andrew Marshall,1,1,1,1
Andrew McLardy,5,6,6,6
Andrew Murray,1,1,1,1
Andrew Novak,0,0,0,1
Andrew Putnam,0,0,2,4
Andrew Ruthkoski,1,1,1,1
Andrew Svoboda,1,1,4,4
Andrew Yun,0,0,0,1
Andy Bare,1,1,1,1
Andy Bean,23,23,23,23
Andy Dillard,6,6,6,6
Andy Matthews,1,1,1,1
Andy Miller,3,3,3,3
Andy Morse,1,1,1,1
Andy North,16,16,16,16
Andy Oldcorn,4,4,4,4
Andy Pope,0,0,2,2
Andy Sullivan,0,0,1,4
Angel Cabrera,12,15,18,20
Angelo Que,0,0,1,1
Anirban Lahiri,0,0,3,6
Anthony Gilligan,1,1,1,1
Anthony Kang,2,2,2,2
Anthony Kim,4,7,7,7
Anthony Painter,2,2,2,2
Anthony Paolucci,0,1,1,1
Anthony Price,1,1,1,1
Anthony Rodriguez,3,3,3,3
Anthony Wall,5,5,6,6
Anton Haig,2,2,2,2
Antonio Cerda,9,9,9,9
Antonio Lascuna,0,0,1,1
Arden Knoll,2,2,2,2
Arie Ahmad Irawan,0,0,1,1
Ariel Cañete,1,1,1,1
Arjun Atwal,7,10,12,15
Armando Favela,0,0,0,1
Arnaud Langenaeken,1,1,1,1
Arnie Dokka,2,2,2,2
Arnold Palmer,10,10,10,10
Aron Price,1,3,3,3
Arron Oberholser,7,7,7,7
Art Wall,1,1,1,1
Artie McNickle,2,2,2,2
Ashley Chesters,0,0,1,1
Ashley Chinner,1,1,1,1
Ashley Hall,0,0,0,1
Ashun Wu,0,0,3,6
Austin Connelly,0,0,0,2
Austin Cook,0,0,2,4
Azuma Yano,3,3,3,3
B.J. Staten,2,2,2,2
Babe Hiskey,3,3,3,3
Barclay Howard,1,1,1,1
Barney Thompson,4,4,4,4
Barry Cheesman,12,12,12,12
Barry Harwell,3,3,3,3
Barry Jaeckel,19,19,19,19
Barry Lane,7,7,7,7
Bart Bryant,15,16,17,17
Beau Baugh,6,6,6,6
Beau Hossler,0,1,2,4
Ben Bates,4,4,4,4
Ben Crane,8,11,14,17
Ben Crenshaw,23,23,23,23
Ben Curtis,8,11,14,15
Ben Duncan,1,1,1,1
Ben Ferguson,1,1,1,1
Ben Kern,0,0,0,1
Ben Kohles,0,1,3,3
Ben Leong,0,0,1,2
Ben Martin,0,1,4,7
Ben Peters,1,1,1,1
Ben Portie,1,1,1,1
Ben Silverman,0,0,0,2
Ben Taylor,0,0,0,1
Ben Walter,1,1,1,1
Benjamín Alvarado,0,0,1,1
Benjamin Fox,0,1,1,1
Benny Passons,1,1,1,1
Bernd Wiesberger,0,1,3,6
Bernhard Langer,27,27,30,32
Berry Henson,0,0,1,2
Bert Atkinson,1,1,1,1
Bert Seagraves,1,1,1,1
Bert Yancey,2,2,2,2
Bill Bergin,7,7,7,7
Bill Brask,1,1,1,1
Bill Britton,16,16,16,16
Bill Buttner,9,9,9,9
Bill Calfee,6,6,6,6
Bill Galloway,1,1,1,1
Bill Glasson,23,23,23,23
Bill Haas,6,9,12,15
Bill Hoefle,1,1,1,1
Bill Israelson,3,3,3,3
Bill Johnston,1,1,1,1
Bill Loeffler,2,2,2,2
Bill Longmuir,1,1,1,1
Bill Lunde,2,5,8,8
Bill Lytle,1,1,1,1
Bill Majure,1,1,1,1
Bill Murchison,5,5,5,5
Bill Pelham,1,1,1,1
Bill Porter,3,3,3,3
Bill Robinson,1,1,1,1
Bill Rogers,9,9,9,9
Bill Sander,14,14,14,14
Bill Schumaker,1,1,1,1
Billy Andrade,24,24,25,25
Billy Bassler,1,1,1,1
Billy Casper,4,4,4,4
Billy Downes,1,1,1,1
Billy Glisson,1,1,1,1
Billy Horschel,0,2,5,8
Billy Hurley III,1,3,6,9
Billy Kratzert,17,17,17,17
Billy Mayfair,23,26,28,28
Billy Pierot,5,5,5,5
Billy Ray Brown,12,12,12,12
Billy Tuten,5,5,5,5
Bio Kim,0,1,2,2
Blaine McCallister,24,24,24,24
Blake Adams,0,3,6,6
Blake Trimble,0,1,1,1
Blayne Barber,0,0,3,6
Bo Van Pelt,8,11,14,15
Bob Ackerman,1,1,1,1
Bob Beauchemin,2,2,2,2
Bob Betley,2,2,2,2
Bob Borowicz,2,2,2,2
Bob Boyd,8,8,8,8
Bob Burns,12,12,12,12
Bob Byman,5,5,5,5
Bob Charles,3,3,3,3
Bob Duval,1,1,1,1
Bob Eastwood,15,15,15,15
Bob Estes,22,25,26,29
Bob Ford,5,5,5,5
Bob Friend,5,5,5,5
Bob Gilder,21,21,21,21
Bob Goalby,3,3,3,3
Bob Heintz,6,7,7,7
Bob Irving,1,1,1,1
Bob Lendzion,2,2,2,2
Bob Lohr,14,14,14,14
Bob Lunn,2,2,2,2
Bob Makoski,1,1,1,1
Bob Mann,2,2,2,2
Bob May,10,10,10,10
Bob Murphy,9,9,9,9
Bob Payne,1,1,1,1
Bob Proben,6,6,6,6
Bob Ralston,2,2,2,2
Bob Rosburg,1,1,1,1
Bob Shearer,5,5,5,5
Bob Smith,5,5,5,5
Bob Sowards,2,2,2,2
Bob Tway,29,29,29,29
Bob Wolcott,8,8,8,8
Bob Wynn,1,1,1,1
Bob Zender,1,1,1,1
Bobby Clampett,19,19,19,19
Bobby Cochran,2,2,2,2
Bobby Cole,11,11,11,11
Bobby Doolittle,1,1,1,1
Bobby Gage,2,2,2,2
Bobby Gates,1,4,5,6
Bobby Heins,5,5,5,5
Bobby Kalinowski,1,1,1,1
Bobby Mitchell,7,7,7,7
Bobby Nichols,6,6,6,6
Bobby Pancratz,4,4,4,4
Bobby Stroble,1,1,1,1
Bobby Tracy,1,1,1,1
Bobby Wadkins,21,21,21,21
Bobby Walzel,3,3,3,3
Bobby Wyatt,0,0,1,3
Boo Weekley,4,7,10,12
Bowen Xiao,0,0,0,1
Boyd Summerhays,2,2,2,2
Brad Adamonis,3,4,4,4
Brad Bell,2,2,2,2
Brad Benjamin,0,1,1,1
Brad Bryant,24,24,24,24
Brad Elder,6,6,7,7
Brad Fabel,17,17,17,17
Brad Faxon,27,28,28,28
Brad Fritsch,0,1,4,5
Brad Greer,3,3,3,3
Brad King,1,1,1,1
Brad Lardon,7,7,7,7
Brad Sherfy,3,3,3,3
Brad Sutterfield,1,1,1,1
Braden Thornberry,0,0,0,2
Bradley Dredge,3,3,3,4
Bradley Hughes,11,11,11,11
Brady Schnell,1,1,1,1
Brady Watt,0,0,1,1
Brandel Chamblee,17,17,17,17
Branden Grace,1,2,5,8
Brandon Hagy,0,0,1,3
Brandon Harkins,0,0,0,3
Brandon Stone,0,0,0,2
Brandt Jobe,15,18,19,19
Brandt Snedeker,5,8,11,14
Braxton Marquez,0,1,1,1
Brendan Jones,4,4,4,4
Brendan Steele,0,2,5,8
Brenden Pappas,5,6,6,6
Brendon de Jonge,2,5,8,11
Brendon Todd,1,2,5,8
Brent Buckman,1,1,1,1
Brent Delahoussaye,1,2,2,2
Brent Franklin,1,1,1,1
Brent Geiberger,12,12,12,12
Brent Murray,1,1,1,1
Brent Schwarzrock,4,4,4,4
Brent Winston,1,1,1,1
Bret Burroughs,1,1,1,1
Brett Coletta,0,0,0,1
Brett Drewitt,0,0,0,3
Brett Ogle,5,5,5,5
Brett Quigley,14,17,18,18
Brett Rumford,3,3,6,7
Brett Stegmaier,0,0,1,4
Brett Upper,7,7,7,7
Brett Wetterich,6,9,9,9
Brian Barnes,1,1,1,1
Brian Bateman,8,9,9,9
Brian Campbell,0,0,1,3
Brian Claar,18,18,18,18
Brian Davis,8,11,14,16
Brian Fogt,5,5,5,5
Brian Gaffney,0,0,1,1
Brian Gay,11,14,16,19
Brian Harman,1,2,5,8
Brian Henninger,14,14,14,14
Brian Hull,1,1,1,1
Brian Jones,2,2,2,2
Brian Kamm,9,9,9,9
Brian Kontak,1,1,1,1
Brian Kortan,1,1,1,1
Brian Mogg,4,4,4,4
Brian Rowell,1,1,1,1
Brian Stuard,0,1,4,7
Brian Tennyson,8,8,8,8
Brian Vranesh,1,1,1,1
Brian Watts,17,17,17,17
Brian Wilson,2,2,2,2
Brice Garnett,0,0,3,6
Briny Baird,10,13,15,15
Brock Mackenzie,1,2,2,2
Bronson Burgoon,0,0,1,4
Bronson La'Cassie,1,1,2,2
Brook Schmitt,1,1,1,1
Brooks Koepka,0,0,3,6
